# RBT-106 null genealogy: seed 801, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-801, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 3/37/8 | 0/11/1 | False |
| 1 | 4/37/8 | 0/11/1 | False |
| 2 | 0/37/8 | 0/11/1 | False |
| 3 | 0/37/8 | 0/11/1 | False |
| 4 | 0/37/8 | 0/11/1 | False |
| 5 | 5/37/8 | 0/11/1 | False |
| 6 | 0/37/8 | 0/11/1 | False |
| 7 | 6/37/8 | 4/11/1 H | False |
| 8 | 7/37/8 | 0/11/1 | False |
| 9 | 3/37/8 | 4/11/1 H | False |
| 10 | 1/37/8 | 0/11/1 | False |
| 11 | 11/37/8 H | 0/11/1 | False |
| 12 | 5/37/8 | 0/11/1 | False |
| 13 | 7/37/8 | 0/11/1 | False |
| 14 | 0/37/8 | 0/11/1 | False |
| 15 | 5/37/8 | 1/11/1 | False |
| 16 | 1/37/8 | 1/11/1 | False |
| 17 | 9/37/8 H | 0/11/1 | False |
| 18 | 10/37/8 H | 0/11/1 | False |
| 19 | 5/37/8 | 1/11/1 | False |

HELD at season 300: 3/20, HELD at season 599: 2/20
NULL seed 801 w 1 K 8: HELD at every window season in 0 of 20 replicates
