# RBT-106 null genealogy: seed 805, founders w = 1, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-805, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 1/8/6 | 0/10/4 | False |
| 1 | 4/8/6 | 2/10/4 | False |
| 2 | 0/8/6 | 0/10/4 | False |
| 3 | 4/8/6 | 2/10/4 | False |
| 4 | 0/8/6 | 0/10/4 | False |
| 5 | 0/8/6 | 0/10/4 | False |
| 6 | 7/8/6 H | 5/10/4 H | True |
| 7 | 0/8/6 | 0/10/4 | False |
| 8 | 0/8/6 | 0/10/4 | False |
| 9 | 7/8/6 H | 6/10/4 H | True |
| 10 | 0/8/6 | 0/10/4 | False |
| 11 | 8/8/6 H | 2/10/4 | False |
| 12 | 0/8/6 | 0/10/4 | False |
| 13 | 1/8/6 | 0/10/4 | False |
| 14 | 0/8/6 | 0/10/4 | False |
| 15 | 0/8/6 | 0/10/4 | False |
| 16 | 2/8/6 | 0/10/4 | False |
| 17 | 0/8/6 | 0/10/4 | False |
| 18 | 4/8/6 | 1/10/4 | False |
| 19 | 0/8/6 | 0/10/4 | False |

HELD at season 300: 3/20, HELD at season 599: 2/20
NULL seed 805 w 1 K 1: HELD at every window season in 2 of 20 replicates
