# RBT-106 null genealogy: seed 806, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-806, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/45/6 | 0/60/3 | False |
| 1 | 9/45/6 H | 0/60/3 | False |
| 2 | 0/45/6 | 0/60/3 | False |
| 3 | 1/45/6 | 0/60/3 | False |
| 4 | 14/45/6 H | 1/60/3 | False |
| 5 | 2/45/6 | 4/60/3 H | False |
| 6 | 0/45/6 | 0/60/3 | False |
| 7 | 0/45/6 | 0/60/3 | False |
| 8 | 0/45/6 | 0/60/3 | False |
| 9 | 1/45/6 | 0/60/3 | False |
| 10 | 17/45/6 H | 6/60/3 H | True |
| 11 | 0/45/6 | 0/60/3 | False |
| 12 | 1/45/6 | 7/60/3 H | False |
| 13 | 0/45/6 | 8/60/3 H | False |
| 14 | 5/45/6 | 5/60/3 H | False |
| 15 | 0/45/6 | 0/60/3 | False |
| 16 | 0/45/6 | 0/60/3 | False |
| 17 | 0/45/6 | 0/60/3 | False |
| 18 | 8/45/6 H | 0/60/3 | False |
| 19 | 0/45/6 | 0/60/3 | False |

HELD at season 300: 4/20, HELD at season 599: 5/20
NULL seed 806 w 1 K 8: HELD at every window season in 1 of 20 replicates
