# RBT-106 null genealogy: seed 4, founders w = 32, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-4, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 1/50/5 | 0/52/2 | False |
| 1 | 0/50/5 | 2/52/2 | False |
| 2 | 0/50/5 | 0/52/2 | False |
| 3 | 8/50/5 H | 0/52/2 | False |
| 4 | 0/50/5 | 0/52/2 | False |
| 5 | 0/50/5 | 0/52/2 | False |
| 6 | 2/50/5 | 0/52/2 | False |
| 7 | 1/50/5 | 0/52/2 | False |
| 8 | 4/50/5 | 4/52/2 H | False |
| 9 | 0/50/5 | 10/52/2 H | False |
| 10 | 0/50/5 | 0/52/2 | False |
| 11 | 0/50/5 | 1/52/2 | False |
| 12 | 0/50/5 | 0/52/2 | False |
| 13 | 0/50/5 | 0/52/2 | False |
| 14 | 4/50/5 | 0/52/2 | False |
| 15 | 1/50/5 | 0/52/2 | False |
| 16 | 7/50/5 H | 5/52/2 H | True |
| 17 | 11/50/5 H | 0/52/2 | False |
| 18 | 2/50/5 | 0/52/2 | False |
| 19 | 10/50/5 H | 0/52/2 | False |

HELD at season 300: 4/20, HELD at season 599: 3/20
NULL seed 4 w 32 K 1: HELD at every window season in 1 of 20 replicates
