# RBT-106 null genealogy: seed 806, founders w = 32, K = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-806, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/45/3 | 0/60/1 | False |
| 1 | 0/45/3 | 1/60/1 | False |
| 2 | 0/45/3 | 0/60/1 | False |
| 3 | 0/45/3 | 0/60/1 | False |
| 4 | 0/45/3 | 0/60/1 | False |
| 5 | 0/45/3 | 0/60/1 | False |
| 6 | 0/45/3 | 0/60/1 | False |
| 7 | 0/45/3 | 3/60/1 H | False |
| 8 | 0/45/3 | 2/60/1 H | False |
| 9 | 3/45/3 | 0/60/1 | False |
| 10 | 1/45/3 | 0/60/1 | False |
| 11 | 1/45/3 | 0/60/1 | False |
| 12 | 0/45/3 | 0/60/1 | False |
| 13 | 3/45/3 | 0/60/1 | False |
| 14 | 0/45/3 | 0/60/1 | False |
| 15 | 0/45/3 | 0/60/1 | False |
| 16 | 0/45/3 | 0/60/1 | False |
| 17 | 0/45/3 | 0/60/1 | False |
| 18 | 0/45/3 | 0/60/1 | False |
| 19 | 2/45/3 | 0/60/1 | False |

HELD at season 300: 0/20, HELD at season 599: 2/20
NULL seed 806 w 32 K 1: HELD at every window season in 0 of 20 replicates
