# RBT-106 null genealogy: seed 801, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-801, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 12/37/22 | 0/11/5 | False |
| 1 | 32/37/22 H | 2/11/5 | False |
| 2 | 4/37/22 | 0/11/5 | False |
| 3 | 18/37/22 | 0/11/5 | False |
| 4 | 21/37/22 | 9/11/5 H | False |
| 5 | 33/37/22 H | 5/11/5 | False |
| 6 | 31/37/22 H | 1/11/5 | False |
| 7 | 19/37/22 | 1/11/5 | False |
| 8 | 7/37/22 | 9/11/5 H | False |
| 9 | 28/37/22 H | 8/11/5 H | True |
| 10 | 24/37/22 H | 10/11/5 H | True |
| 11 | 27/37/22 H | 4/11/5 | False |
| 12 | 15/37/22 | 8/11/5 H | False |
| 13 | 21/37/22 | 3/11/5 | False |
| 14 | 13/37/22 | 0/11/5 | False |
| 15 | 24/37/22 H | 1/11/5 | False |
| 16 | 15/37/22 | 0/11/5 | False |
| 17 | 28/37/22 H | 0/11/5 | False |
| 18 | 19/37/22 | 0/11/5 | False |
| 19 | 14/37/22 | 9/11/5 H | False |

HELD at season 300: 8/20, HELD at season 599: 6/20
NULL seed 801 w 1: HELD at every window season in 2 of 20 replicates
