# RBT-106 null genealogy: seed 3, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-3, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/3/3 | 0/0/0 | False |
| 1 | 2/3/3 | 0/0/0 | False |
| 2 | 3/3/3 | 0/0/0 | False |
| 3 | 1/3/3 | 0/0/0 | False |
| 4 | 3/3/3 | 0/0/0 | False |
| 5 | 1/3/3 | 0/0/0 | False |
| 6 | 2/3/3 | 0/0/0 | False |
| 7 | 1/3/3 | 0/0/0 | False |
| 8 | 1/3/3 | 0/0/0 | False |
| 9 | 1/3/3 | 0/0/0 | False |
| 10 | 2/3/3 | 0/0/0 | False |
| 11 | 1/3/3 | 0/0/0 | False |
| 12 | 0/3/3 | 0/0/0 | False |
| 13 | 2/3/3 | 0/0/0 | False |
| 14 | 3/3/3 | 0/0/0 | False |
| 15 | 2/3/3 | 0/0/0 | False |
| 16 | 1/3/3 | 0/0/0 | False |
| 17 | 2/3/3 | 0/0/0 | False |
| 18 | 3/3/3 | 0/0/0 | False |
| 19 | 0/3/3 | 0/0/0 | False |

HELD at season 300: 0/20, HELD at season 599: 0/20
NULL seed 3 w 1: HELD at every window season in 0 of 20 replicates
