season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
     0  holistic         59       3       4  1.928/-0.007           28.5       57
     0  conventional     60       2       2  3.166/-1.161           24.6       58
     1  holistic         60       2       1  1.942/0.040           29.0       58
     1  conventional     39       4      25  1.630/-0.393           23.8       59
     2  holistic         60       0       0  1.279/0.017           30.0       59
     2  conventional     28       6      17  0.957/-0.029           22.5       57
     3  holistic         59       1       2  0.940/0.016           29.8       59
     3  conventional     15       0      13  0.467/0.046           30.8       54
     4  holistic         56       1       4  0.743/0.008           31.1       59
     4  conventional      9       1       7  0.750/0.116           30.0       47
     5  holistic         52       0       4  0.608/0.011           32.9       59
     5  conventional      8       1       2  0.585/0.157           34.4       48
     6  holistic         50       0       2  0.513/0.008           32.8       58
     6  conventional      6       0       2  0.606/0.192           45.2       49
     7  holistic         48       0       2  0.443/0.008           34.2       59
     7  conventional      4       1       3  0.688/0.276           33.8       50
     8  holistic         44       0       4  0.242/0.001           34.3       59
     8  conventional      3       0       1  0.470/0.169           30.7       51
     9  holistic         40       0       4  0.209/0.007           34.7       59
     9  conventional      3       0       0  0.422/0.292           31.7       52
    10  holistic         37       0       3  0.182/0.009           34.9       59
    10  conventional      2       1       2  0.557/0.278           26.5       53
    11  holistic          3       0      34  0.242/0.164           43.0       57
    11  conventional      1       0       1  0.498/0.498           54.0       54
    12  holistic          3       0       0  0.217/0.149           44.0       58
    12  conventional      1       0       0  0.463/0.463           55.0       55
    13  holistic          3       0       0  0.195/0.136           45.0       59
    13  conventional      0       0       1  0.000/0.000            0.0        0
    14  holistic          3       1       1  0.443/0.192           26.0       41
    15  holistic          3       1       1  0.410/0.136           14.3       42
    16  holistic          3       0       0  0.380/0.112           15.3       43
    17  holistic          3       0       0  0.410/0.122           16.3       44
    18  holistic          2       0       1  0.383/0.171           24.0       45
    19  holistic          3       1       0  0.409/0.206           16.7       46
    20  holistic          3       0       0  0.386/0.141           17.7       47
    21  holistic          3       0       0  0.364/0.123           18.7       48
    22  holistic          1       0       2  0.344/0.344           49.0       49
    23  holistic          1       0       0  0.326/0.326           50.0       50
    24  holistic          1       0       0  0.309/0.309           51.0       51
    25  holistic          1       0       0  0.294/0.294           52.0       52
    26  holistic          0       0       1  0.000/0.000            0.0        0
